source,target,type
test:tests/test\_release\_build.py,roadmap:013,validates
test:tests/test\_release\_verify.py,roadmap:013,validates
test:tests/test\_roadmap\_check.py,roadmap:013,validates
doc:docs/ci-cd.md,roadmap:013,documents
doc:docs/index.md,roadmap:013,documents
doc:docs/installer-ux.md,roadmap:013,documents
doc:docs/plugin-sandboxing.md,roadmap:013,documents
doc:docs/quality-contract.md,roadmap:013,documents
doc:docs/release-guide.md,roadmap:013,documents
doc:docs/roadmap-completion-policy.md,roadmap:013,documents
doc:docs/testing-guide.md,roadmap:013,documents
roadmap:001,roadmap:014,follows_on
roadmap:002,roadmap:014,follows_on
roadmap:003,roadmap:014,follows_on
roadmap:004,roadmap:014,follows_on
roadmap:005,roadmap:014,follows_on
roadmap:014,roadmap:014,follows_on
roadmap:014,module:src/binance\_spot\_bot/app\_shell.py,implements
roadmap:014,module:src/binance\_spot\_bot/backup\_restore.py,implements
roadmap:014,module:src/binance\_spot\_bot/diagnostics.py,implements
roadmap:014,module:src/binance\_spot\_bot/factory\_reset.py,implements
roadmap:014,module:src/binance\_spot\_bot/logs\_manager.py,implements
roadmap:014,module:src/binance\_spot\_bot/migrations.py,implements
roadmap:014,module:src/binance\_spot\_bot/settings\_import\_export.py,implements
roadmap:014,module:src/binance\_spot\_bot/support\_bundle.py,implements
roadmap:014,module:src/binance\_spot\_bot/theme.py,implements
roadmap:014,module:src/binance\_spot\_bot/ui/diagnostics.py,implements
roadmap:014,module:src/binance\_spot\_bot/ui/onboarding.py,implements
roadmap:014,module:src/binance\_spot\_bot/ui/workspace\_settings.py,implements
roadmap:014,module:src/binance\_spot\_bot/workspaces.py,implements
test:tests/test\_app\_shell.py,roadmap:014,validates
test:tests/test\_backup\_restore.py,roadmap:014,validates
test:tests/test\_diagnostics.py,roadmap:014,validates
test:tests/test\_factory\_reset.py,roadmap:014,validates
test:tests/test\_logs\_data\_manager.py,roadmap:014,validates
test:tests/test\_migrations.py,roadmap:014,validates
test:tests/test\_settings\_import\_export.py,roadmap:014,validates
test:tests/test\_support\_bundle.py,roadmap:014,validates
test:tests/test\_theme\_settings.py,roadmap:014,validates
test:tests/test\_workspaces.py,roadmap:014,validates
doc:docs/app-ux-safety-contract.md,roadmap:014,documents
doc:docs/backup-restore.md,roadmap:014,documents
doc:docs/data-migrations.md,roadmap:014,documents
doc:docs/diagnostics.md,roadmap:014,documents
